,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.408884,0.473098,0.398792,0.290621,0.383142,0.282863,0.174908,0.119345
variance,3.732479e-07,4.855446e-07,4.999202e-07,8.354326e-08,2.875544e-07,1.217037e-06,2.675821e-07,2.95338e-07
ambient,0.00291,0.002877,0.002871,0.002888,0.002882,0.002897,0.002903,0.002898
