,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.484448,0.586789,0.496801,0.37791,0.534773,0.362528,0.256497,0.175317
variance,5.416449e-07,7.585702e-07,7.05975e-07,1.495998e-07,5.275917e-07,1.991025e-06,4.03216e-07,7.844945e-07
ambient,0.002356,0.002352,0.002341,0.002351,0.002339,0.002349,0.002337,0.002328
