,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.097554,0.093833,0.116001,0.053295,0.086294,0.083999,0.051088,0.051737
variance,1.957735e-09,3.998841e-08,2.663367e-08,1.967882e-09,1.813142e-07,3.342917e-08,3.373472e-09,1.232891e-07
ambient,0.015571,0.015541,0.015517,0.015523,0.015486,0.015499,0.015456,0.015448
