,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.245452,0.347664,0.306656,0.170272,0.254951,0.197074,0.150551,0.092734
variance,7.438439e-08,9.974393e-08,9.110858e-08,1.178981e-08,7.114707e-08,1.306539e-07,7.214007e-08,7.520506e-08
ambient,0.015581,0.015585,0.015594,0.015591,0.01559,0.015579,0.015554,0.015543
