,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.018817,0.579591,0.472981,0.26601,0.611768,0.687721,0.04492,0.514299
variance,4.327148e-09,9.795078e-07,8.339426e-08,4.984149e-07,1.355904e-06,3.1994e-06,8.897501e-09,1.989652e-06
ambient,0.008348,0.008346,0.008345,0.008329,0.008346,0.008326,0.008325,0.008307
