,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.124332,0.157959,0.163764,0.079435,0.117428,0.106777,0.053926,0.047109
variance,7.58429e-08,2.976228e-08,2.932774e-08,3.361293e-09,1.573213e-08,5.142658e-08,1.235358e-08,2.681739e-08
ambient,0.000265,0.000285,0.000278,0.000279,0.000272,0.000252,0.000269,0.000269
