,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.178025,0.231106,0.217465,0.119548,0.165959,0.159024,0.100921,0.085501
variance,3.326846e-09,4.542522e-08,4.307515e-08,1.249219e-09,2.391153e-08,7.784371e-08,2.002883e-08,3.999779e-08
ambient,0.032512,0.032506,0.03248,0.032541,0.032524,0.032552,0.032525,0.032499
