,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.205729,0.271429,0.24792,0.144676,0.186478,0.178283,0.103764,0.084051
variance,5.00728e-09,6.886586e-08,6.212119e-08,1.700386e-09,3.594181e-08,1.20726e-07,2.656313e-08,4.028072e-08
ambient,0.026163,0.026085,0.026081,0.026102,0.026054,0.026094,0.026059,0.026036
