,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.429702,0.625294,0.584634,0.365351,0.722418,0.357538,0.31253,0.220278
variance,6.638127e-07,8.170823e-07,8.406524e-07,1.362979e-07,1.012321e-06,1.34832e-06,7.151949e-07,1.311576e-06
ambient,0.000111,0.000114,0.00011,0.000105,0.000107,0.000113,0.000106,0.000114
