,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.432269,0.621397,0.561696,0.360416,0.624823,0.336493,0.235596,0.165385
variance,6.831027e-07,8.720077e-07,9.143237e-07,1.148309e-07,1.061839e-06,1.263627e-06,4.131244e-07,5.797192e-07
ambient,0.000277,0.000278,0.00028,0.000277,0.000272,0.000276,0.000268,0.000266
