,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.446457,0.591741,0.517917,0.359422,0.508801,0.355186,0.257707,0.155072
variance,2.109996e-07,8.385554e-07,7.352309e-07,9.386562e-08,6.160988e-07,1.408298e-06,4.735474e-07,3.857028e-07
ambient,0.023025,0.023047,0.022995,0.022972,0.022875,0.023028,0.0231,0.023247
