,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.049777,0.036864,0.069768,0.005117,0.034193,0.036736,0.008289,0.019102
variance,6.408559e-09,2.213348e-09,1.472812e-08,2.916272e-10,2.554688e-09,1.389334e-08,1.167634e-09,7.873116e-09
ambient,0.001158,0.001159,0.001147,0.001146,0.001144,0.001145,0.001147,0.001143
