,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.357129,0.411863,0.347247,0.244765,0.308572,0.260221,0.144142,0.109317
variance,2.734691e-07,2.532102e-07,2.793756e-07,4.997192e-08,1.587014e-07,1.004366e-06,1.575651e-07,3.103166e-07
ambient,0.002544,0.002539,0.002529,0.002538,0.002523,0.00253,0.002522,0.002516
