,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.119484,0.232508,0.221736,0.112767,0.135862,0.140258,0.048881,0.04684
variance,8.263227e-08,5.036972e-08,5.571451e-08,3.406001e-09,3.029919e-08,3.609691e-08,8.417374e-09,1.67278e-08
ambient,0.003989,0.003984,0.003997,0.003929,0.003966,0.003982,0.003984,0.003993
