,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.316007,0.394913,0.351808,0.229581,0.328652,0.239883,0.167223,0.106211
variance,5.613451e-08,3.787822e-07,3.637936e-07,3.416364e-08,3.327719e-07,7.759583e-07,2.463253e-07,2.388762e-07
ambient,0.012967,0.012933,0.012884,0.012891,0.012802,0.012763,0.012649,0.012604
