,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.253289,0.355234,0.324625,0.203127,0.251495,0.223426,0.128974,0.104104
variance,5.883203e-08,1.337317e-07,1.109482e-07,4.540473e-08,5.771133e-08,2.558941e-07,5.534574e-08,9.912888e-08
ambient,0.01041,0.010412,0.010394,0.010407,0.010386,0.010412,0.010358,0.010373
