,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.190564,0.25895,0.250601,0.144358,0.186289,0.172606,0.099086,0.084164
variance,2.119407e-09,6.974503e-08,6.965869e-08,3.228422e-09,3.722428e-08,1.125408e-07,2.754271e-08,4.979987e-08
ambient,0.018685,0.018661,0.018639,0.018646,0.01863,0.018658,0.01868,0.018578
