,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.366183,0.453812,0.38322,0.26814,0.371153,0.276428,0.194581,0.127497
variance,1.307953e-07,5.641976e-07,4.284454e-07,5.392505e-08,4.435593e-07,1.038653e-06,3.037258e-07,3.299975e-07
ambient,0.012251,0.01223,0.012177,0.012231,0.012191,0.012217,0.012183,0.012171
