,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.507016,0.651241,0.570686,0.40133,0.607931,0.382344,0.273554,0.169402
variance,4.400007e-07,1.010608e-06,9.275068e-07,1.326611e-07,1.437885e-06,1.947567e-06,6.252508e-07,6.806891e-07
ambient,0.007039,0.007066,0.007017,0.007025,0.006979,0.007001,0.007005,0.006999
