,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.392932,0.528109,0.450591,0.291614,0.426853,0.302188,0.233117,0.133417
variance,3.427876e-07,8.237198e-07,1.234671e-06,1.870815e-07,1.017167e-06,1.16465e-06,4.788258e-07,4.20517e-07
ambient,0.00455,0.004554,0.004548,0.004571,0.004554,0.004567,0.004547,0.004537
