,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.356507,0.432523,0.385712,0.269732,0.405954,0.270631,0.230884,0.160692
variance,2.740662e-08,6.065937e-07,4.217556e-07,4.92628e-08,3.524966e-07,9.074859e-07,4.02799e-07,4.666492e-07
ambient,0.024745,0.024321,0.024051,0.024154,0.024189,0.024299,0.024224,0.024155
