,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.346832,0.441057,0.380061,0.244374,0.361171,0.263017,0.184151,0.125197
variance,4.687889e-08,4.6039e-07,4.208881e-07,3.796838e-08,3.072872e-07,7.7154e-07,1.764152e-07,4.579129e-07
ambient,0.017276,0.017251,0.017194,0.017259,0.017202,0.017255,0.017193,0.017176
