,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.196092,0.237846,0.224216,0.127348,0.188714,0.151785,0.102871,0.072266
variance,2.820865e-08,1.231095e-07,1.331869e-07,8.488039e-09,1.006239e-07,2.675737e-07,7.338345e-08,8.216436e-08
ambient,0.015944,0.015928,0.015911,0.015926,0.015893,0.015919,0.015887,0.015879
