,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.323423,0.408713,0.373307,0.247549,0.350598,0.253453,0.172263,0.112887
variance,5.816523e-08,1.669132e-07,1.500937e-07,1.783965e-08,1.542128e-07,2.381253e-07,9.138701e-08,1.086129e-07
ambient,0.021952,0.021934,0.021901,0.021953,0.021915,0.021939,0.021903,0.021898
