,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.354788,0.466199,0.408577,0.268796,0.352259,0.268512,0.172017,0.113774
variance,1.330491e-07,2.092738e-07,1.825135e-07,3.180369e-08,1.544327e-07,3.200602e-07,1.199532e-07,1.330364e-07
ambient,0.010122,0.010117,0.01009,0.010111,0.010089,0.010152,0.010077,0.010092
