,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.087511,0.09105,0.117072,0.048201,0.080797,0.079729,0.045184,0.051682
variance,2.286528e-10,7.925479e-09,2.337413e-08,1.35723e-09,1.044455e-08,3.669289e-08,6.727763e-09,2.791642e-08
ambient,0.018627,0.018625,0.018618,0.018653,0.018653,0.018732,0.018771,0.018773
