,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.080788,0.079124,0.104257,0.032133,0.085026,0.063047,0.044188,0.045997
variance,2.180488e-08,1.12804e-08,2.50689e-08,3.36989e-09,1.880539e-08,4.105677e-08,1.529407e-08,4.497541e-08
ambient,0.000715,0.000712,0.000706,0.000708,0.00071,0.000708,0.000707,0.000703
