,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.449756,0.572698,0.506793,0.353648,0.497163,0.349958,0.244509,0.148727
variance,7.527419e-08,6.39372e-07,6.995675e-07,7.764873e-08,6.210703e-07,1.564847e-06,4.856548e-07,4.053598e-07
ambient,0.024216,0.024235,0.024181,0.024262,0.024182,0.024231,0.02414,0.024082
