,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.50554,0.652481,0.572655,0.405291,0.589616,0.39522,0.300522,0.178761
variance,3.078104e-07,2.789678e-07,6.957541e-07,9.033536e-08,8.651162e-07,1.989623e-06,7.353323e-07,6.423324e-07
ambient,0.021191,0.02221,0.023276,0.023353,0.023207,0.023192,0.023091,0.02302
