,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.064527,0.060852,0.08766,0.019432,0.056076,0.050544,0.021813,0.028494
variance,2.699687e-08,2.594049e-09,5.658819e-09,3.867342e-10,3.242718e-09,8.655406e-09,1.372825e-09,9.863754e-09
ambient,0.000129,0.000128,0.00012,0.00012,0.000131,0.000125,0.000128,0.000133
