,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.197407,0.203796,0.204235,0.129326,0.137567,0.142496,0.064436,0.056823
variance,1.977742e-08,8.026089e-08,1.187948e-07,6.38569e-09,3.305769e-08,3.080933e-07,1.816875e-08,4.809389e-08
ambient,0.012574,0.012594,0.012564,0.01259,0.012551,0.012597,0.012612,0.012625
