,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.179103,0.264858,0.280907,0.13051,0.329202,0.151826,0.20094,0.141289
variance,1.427093e-07,8.854008e-08,1.995873e-07,6.847391e-08,3.926763e-08,1.643015e-07,3.207428e-07,4.450845e-07
ambient,0.000215,0.000214,0.000212,0.000211,0.00021,0.000205,0.000207,0.000205
