,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.130972,0.11699,0.148081,0.085342,0.115578,0.117898,0.0904,0.099998
variance,8.029985e-10,1.495323e-09,4.335789e-09,1.634817e-10,1.10694e-09,1.091161e-08,9.732446e-10,5.043631e-09
ambient,0.079937,0.079923,0.079927,0.079935,0.079917,0.079922,0.079897,0.079896
