,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.504369,0.650048,0.569144,0.40189,0.586171,0.391776,0.297091,0.175351
variance,1.580241e-07,8.866326e-07,8.967974e-07,1.138568e-07,8.787605e-07,1.958306e-06,7.265405e-07,6.338214e-07
ambient,0.019859,0.019825,0.019749,0.019815,0.019736,0.019786,0.019726,0.019698
