,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.395243,0.510156,0.454911,0.302109,0.444099,0.306197,0.22177,0.135967
variance,1.872656e-07,5.461237e-07,5.679105e-07,7.690376e-08,4.886405e-07,1.151969e-06,3.947208e-07,3.834417e-07
ambient,0.014288,0.014278,0.014255,0.014299,0.014277,0.01433,0.014306,0.0143
