,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.394899,0.46906,0.414959,0.308243,0.407839,0.300762,0.21325,0.146925
variance,1.680242e-08,5.04483e-07,4.573888e-07,3.495776e-08,4.615123e-07,1.099248e-06,2.82476e-07,2.795877e-07
ambient,0.038754,0.038704,0.03862,0.038731,0.038642,0.038741,0.038696,0.0387
