,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.507512,0.654055,0.568686,0.394366,0.625504,0.386365,0.324056,0.187122
variance,4.140899e-07,1.04731e-06,8.182303e-07,1.305748e-07,1.003869e-06,2.023116e-06,8.802119e-07,7.799439e-07
ambient,0.008118,0.0081,0.008099,0.008158,0.007965,0.007877,0.007837,0.007882
