,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.325311,0.392551,0.360266,0.2414,0.361216,0.251027,0.208226,0.14793
variance,1.852721e-08,3.543217e-07,3.130259e-07,2.345167e-08,3.689942e-07,7.401091e-07,2.917492e-07,3.443695e-07
ambient,0.030323,0.030259,0.030197,0.030256,0.030179,0.030215,0.030144,0.030112
