,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.156573,0.203063,0.196502,0.101751,0.207372,0.122557,0.112948,0.085956
variance,7.0775e-08,9.316955e-08,9.985951e-08,1.139787e-08,9.904713e-08,1.608381e-07,1.043121e-07,1.607824e-07
ambient,0.001982,0.002002,0.001987,0.001988,0.001971,0.001979,0.001975,0.001984
