,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.027999,1.093204,0.852836,0.43996,1.200601,1.128332,0.088391,0.845831
variance,6.724719e-09,1.333108e-06,1.320211e-07,1.466515e-06,1.757647e-08,5.369462e-06,4.956803e-09,2.646368e-06
ambient,0.009024,0.00901,0.009035,0.00897,0.009011,0.009023,0.009033,0.009018
