,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.249779,0.307596,0.28826,0.171199,0.291244,0.190306,0.153453,0.106378
variance,2.997275e-07,9.460273e-08,9.133008e-08,1.642548e-08,9.308398e-08,1.503866e-07,8.836138e-08,1.325387e-07
ambient,0.000705,0.000722,0.000712,0.000709,0.000694,0.000705,0.000708,0.000699
