,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.392941,0.527833,0.448632,0.287992,0.420987,0.299212,0.232349,0.13388
variance,3.854821e-07,6.398101e-07,1.34148e-06,8.311401e-08,2.090173e-06,1.332722e-06,5.107202e-07,8.206922e-07
ambient,0.004552,0.004558,0.004546,0.004559,0.004555,0.004566,0.004549,0.004486
