,led0,led1,led2,led3,led4,led5,led6,led7
intensity,0.440205,0.585251,0.511456,0.353256,0.502597,0.348814,0.251286,0.14853
variance,2.306499e-07,7.340697e-07,7.409287e-07,1.061605e-07,6.478129e-07,1.478056e-06,5.366126e-07,4.416525e-07
ambient,0.016786,0.016788,0.016747,0.016808,0.016768,0.016816,0.016774,0.016769
